i, time, sound
728, 15.1667, 11192
729, 15.1875, 9909
730, 15.2083, 8722
731, 15.2292, 7734
732, 15.25, 6996
733, 15.2708, 6583
734, 15.2917, 6734
735, 15.3125, 7674
736, 15.3333, 9258
737, 15.3542, 11067
738, 15.375, 12795
739, 15.3958, 14367
740, 15.4167, 15723
741, 15.4375, 16647
742, 15.4583, 16810
743, 15.4792, 15992
744, 15.5, 14275
745, 15.5208, 11988
746, 15.5417, 9517
747, 15.5625, 7189
748, 15.5833, 5238
749, 15.6042, 3762
750, 15.625, 2629
751, 15.6458, 1558
752, 15.6667, 420
753, 15.6875, -651
754, 15.7083, -1546
755, 15.7292, -2387
756, 15.75, -3336
757, 15.7708, -4425
758, 15.7917, -5669
759, 15.8125, -7138
760, 15.8333, -8770
761, 15.8542, -10280
762, 15.875, -11456
763, 15.8958, -12361
764, 15.9167, -13109
765, 15.9375, -13647
766, 15.9583, -13911
767, 15.9792, -13956
768, 16, -13873
769, 16.0208, -13730
770, 16.0417, -13519
771, 16.0625, -13080
772, 16.0833, -12186
773, 16.1042, -10766
774, 16.125, -9027
775, 16.1458, -7347
776, 16.1667, -6031
777, 16.1875, -5181
778, 16.2083, -4712
779, 16.2292, -4399
780, 16.25, -4092
781, 16.2708, -3992
782, 16.2917, -4470
783, 16.3125, -5573
784, 16.3333, -6969
785, 16.3542, -8324
786, 16.375, -9477
787, 16.3958, -10361
788, 16.4167, -11026
789, 16.4375, -11672
790, 16.4583, -12465
791, 16.4792, -13330
792, 16.5, -14027
793, 16.5208, -14340
794, 16.5417, -14110
795, 16.5625, -13279
796, 16.5833, -12002
797, 16.6042, -10531
798, 16.625, -8964
799, 16.6458, -7288
800, 16.6667, -5610
801, 16.6875, -4168
802, 16.7083, -3210
803, 16.7292, -2895
804, 16.75, -3209
805, 16.7708, -3961
806, 16.7917, -4874
807, 16.8125, -5746
808, 16.8333, -6493
809, 16.8542, -7060
810, 16.875, -7379
811, 16.8958, -7413
812, 16.9167, -7065
813, 16.9375, -6187
814, 16.9583, -4868
815, 16.9792, -3437
816, 17, -1984
817, 17.0208, -266
818, 17.0417, 1854
819, 17.0625, 4285
820, 17.0833, 6994
821, 17.1042, 9983
822, 17.125, 13012
823, 17.1458, 15680
824, 17.1667, 17819
825, 17.1875, 19527
826, 17.2083, 20812
827, 17.2292, 21503
828, 17.25, 21490
829, 17.2708, 20798
830, 17.2917, 19574
831, 17.3125, 18130
832, 17.3333, 16806
833, 17.3542, 15694
834, 17.375, 14662
835, 17.3958, 13571
836, 17.4167, 12370
837, 17.4375, 11073
838, 17.4583, 9772
839, 17.4792, 8599
840, 17.5, 7606
841, 17.5208, 6790
842, 17.5417, 6334
843, 17.5625, 6615
844, 17.5833, 7756
845, 17.6042, 9445
846, 17.625, 11325
847, 17.6458, 13213
848, 17.6667, 14926
849, 17.6875, 16258
850, 17.7083, 17052
851, 17.7292, 17102
852, 17.75, 16194
853, 17.7708, 14369
854, 17.7917, 11993
855, 17.8125, 9508
856, 17.8333, 7217
857, 17.8542, 5278
858, 17.875, 3749
859, 17.8958, 2534
860, 17.9167, 1435
861, 17.9375, 346
862, 17.9583, -716
863, 17.9792, -1743
864, 18, -2743
865, 18.0208, -3713
866, 18.0417, -4765
867, 18.0625, -6074
868, 18.0833, -7624
869, 18.1042, -9164
870, 18.125, -10479
871, 18.1458, -11570
872, 18.1667, -12499
873, 18.1875, -13208
874, 18.2083, -13651
875, 18.2292, -13913
876, 18.25, -14037
877, 18.2708, -13969
878, 18.2917, -13748
879, 18.3125, -13463
880, 18.3333, -13010
881, 18.3542, -12126
882, 18.375, -10679
883, 18.3958, -8883
884, 18.4167, -7195
885, 18.4375, -5969
886, 18.4583, -5243
887, 18.4792, -4844
888, 18.5, -4576
889, 18.5208, -4381
890, 18.5417, -4449
891, 18.5625, -5032
892, 18.5833, -6126
893, 18.6042, -7481
894, 18.625, -8813
895, 18.6458, -9898
896, 18.6667, -10639
897, 18.6875, -11149
898, 18.7083, -11680
899, 18.7292, -12384
900, 18.75, -13145
901, 18.7708, -13692
902, 18.7917, -13823
903, 18.8125, -13437
904, 18.8333, -12512
905, 18.8542, -11180
906, 18.875, -9672
907, 18.8958, -8121
908, 18.9167, -6546
909, 18.9375, -5010
910, 18.9583, -3724
911, 18.9792, -2981
912, 19, -2941
913, 19.0208, -3484
914, 19.0417, -4336
915, 19.0625, -5263
916, 19.0833, -6130
917, 19.1042, -6861
918, 19.125, -7367
919, 19.1458, -7564
920, 19.1667, -7438
921, 19.1875, -6948
922, 19.2083, -5993
923, 19.2292, -4647
924, 19.25, -3172
925, 19.2708, -1634
926, 19.2917, 165
927, 19.3125, 2348
928, 19.3333, 4877
929, 19.3542, 7706
930, 19.375, 10755
931, 19.3958, 13762
932, 19.4167, 16374
933, 19.4375, 18431
934, 19.4583, 20000
935, 19.4792, 21116
936, 19.5, 21645
937, 19.5208, 21456
938, 19.5417, 20567
939, 19.5625, 19178
940, 19.5833, 17642
941, 19.6042, 16289
942, 19.625, 15212
943, 19.6458, 14249
944, 19.6667, 13179
945, 19.6875, 11922
946, 19.7083, 10590
947, 19.7292, 9349
948, 19.75, 8254
949, 19.7708, 7283
950, 19.7917, 6515
951, 19.8125, 6244
952, 19.8333, 6786
953, 19.8542, 8123
954, 19.875, 9897
955, 19.8958, 11784
956, 19.9167, 13629
957, 19.9375, 15291
958, 19.9583, 16594
959, 19.9792, 17321
960, 20, 17178
961, 20.0208, 15980
962, 20.0417, 13893
963, 20.0625, 11372
964, 20.0833, 8890
965, 20.1042, 6720
966, 20.125, 4909
967, 20.1458, 3393
968, 20.1667, 2103
969, 20.1875, 955
970, 20.2083, -132
971, 20.2292, -1213
972, 20.25, -2300
973, 20.2708, -3347
974, 20.2917, -4325
975, 20.3125, -5348
976, 20.3333, -6606
977, 20.3542, -8123
978, 20.375, -9680
979, 20.3958, -11022
980, 20.4167, -12055
981, 20.4375, -12824
982, 20.4583, -13373
983, 20.4792, -13727
984, 20.5, -13930
985, 20.5208, -13986
986, 20.5417, -13864
987, 20.5625, -13580
988, 20.5833, -13158
989, 20.6042, -12513
990, 20.625, -11484
991, 20.6458, -10000
992, 20.6667, -8247
993, 20.6875, -6650
994, 20.7083, -5590
995, 20.7292, -5104
996, 20.75, -4909
997, 20.7708, -4687
998, 20.7917, -4442
999, 20.8125, -4549
1000, 20.8333, -5308
1001, 20.8542, -6562
1002, 20.875, -7921
1003, 20.8958, -9142
1004, 20.9167, -10100
1005, 20.9375, -10720
1006, 20.9583, -11132
1007, 20.9792, -11647
1008, 21, -12404
1009, 21.0208, -13180
1010, 21.0417, -13636
1011, 21.0625, -13615
1012, 21.0833, -13108
1013, 21.1042, -12117
1014, 21.125, -10730
1015, 21.1458, -9169
1016, 21.1667, -7632
1017, 21.1875, -6171
1018, 21.2083, -4806
1019, 21.2292, -3689
1020, 21.25, -3095
1021, 21.2708, -3204
1022, 21.2917, -3912
1023, 21.3125, -4912
1024, 21.3333, -5921
1025, 21.3542, -6788
1026, 21.375, -7426
1027, 21.3958, -7773
1028, 21.4167, -7839
1029, 21.4375, -7645
1030, 21.4583, -7064
1031, 21.4792, -5933
1032, 21.5, -4398
1033, 21.5208, -2786
1034, 21.5417, -1132
1035, 21.5625, 819
1036, 21.5833, 3186
1037, 21.6042, 5891
1038, 21.625, 8861
1039, 21.6458, 11974
1040, 21.6667, 14914
1041, 21.6875, 17368
1042, 21.7083, 19266
1043, 21.7292, 20708
1044, 21.75, 21673
1045, 21.7708, 21977
1046, 21.7917, 21490
1047, 21.8125, 20326
1048, 21.8333, 18811
1049, 21.8542, 17326
1050, 21.875, 16092
1051, 21.8958, 15064
1052, 21.9167, 14058
1053, 21.9375, 12953
1054, 21.9583, 11743
1055, 21.9792, 10498
1056, 22, 9320
1057, 22.0208, 8275
1058, 22.0417, 7374
1059, 22.0625, 6706
1060, 22.0833, 6555
1061, 22.1042, 7186
1062, 22.125, 8551
1063, 22.1458, 10323
1064, 22.1667, 12189
1065, 22.1875, 13960
1066, 22.2083, 15507
1067, 22.2292, 16682
1068, 22.25, 17229
1069, 22.2708, 16816
1070, 22.2917, 15355
1071, 22.3125, 13177
1072, 22.3333, 10755
1073, 22.3542, 8386
1074, 22.375, 6222
1075, 22.3958, 4380
1076, 22.4167, 2887
1077, 22.4375, 1623
1078, 22.4583, 429
1079, 22.4792, -738
1080, 22.5, -1831
1081, 22.5208, -2843
1082, 22.5417, -3819
1083, 22.5625, -4792
1084, 22.5833, -5832
1085, 22.6042, -7059
1086, 22.625, -8485
1087, 22.6458, -9933
1088, 22.6667, -11196
1089, 22.6875, -12198
1090, 22.7083, -12964
1091, 22.7292, -13539
1092, 22.75, -13939
1093, 22.7708, -14143
1094, 22.7917, -14130
1095, 22.8125, -13934
1096, 22.8333, -13624
1097, 22.8542, -13178
1098, 22.875, -12441
1099, 22.8958, -11250
1100, 22.9167, -9634
1101, 22.9375, -7872
1102, 22.9583, -6358
1103, 22.9792, -5356
1104, 23, -4854
1105, 23.0208, -4615
1106, 23.0417, -4417
1107, 23.0625, -4306
1108, 23.0833, -4583
1109, 23.1042, -5440
1110, 23.125, -6725
1111, 23.1458, -8114
1112, 23.1667, -9363
1113, 23.1875, -10316
1114, 23.2083, -10938
1115, 23.2292, -11415
1116, 23.25, -11991
1117, 23.2708, -12676
1118, 23.2917, -13263
1119, 23.3125, -13557
1120, 23.3333, -13428
1121, 23.3542, -12766
1122, 23.375, -11575
1123, 23.3958, -10058
1124, 23.4167, -8480
1125, 23.4375, -6948
1126, 23.4583, -5450
1127, 23.4792, -4093
1128, 23.5, -3132
1129, 23.5208, -2769
1130, 23.5417, -3022
1131, 23.5625, -3772
1132, 23.5833, -4806
1133, 23.6042, -5850
1134, 23.625, -6664
1135, 23.6458, -7144
1136, 23.6667, -7351
1137, 23.6875, -7394
1138, 23.7083, -7217
1139, 23.7292, -6583
1140, 23.75, -5388
1141, 23.7708, -3868
1142, 23.7917, -2283
1143, 23.8125, -586
1144, 23.8333, 1405
1145, 23.8542, 3726
1146, 23.875, 6352
1147, 23.8958, 9307
1148, 23.9167, 12422
1149, 23.9375, 15275
1150, 23.9583, 17557
1151, 23.9792, 19314
1152, 24, 20682
1153, 24.0208, 21579
1154, 24.0417, 21758
1155, 24.0625, 21121
1156, 24.0833, 19867
1157, 24.1042, 18366
1158, 24.125, 16943
1159, 24.1458, 15745
1160, 24.1667, 14712
1161, 24.1875, 13660
1162, 24.2083, 12460
1163, 24.2292, 11139
1164, 24.25, 9838
1165, 24.2708, 8677
1166, 24.2917, 7669
1167, 24.3125, 6797
